sub,emotion,X1,Y1,RT,study
180,still,-1,1,5.952,study1
180,quiet,27,-95,6.814,study1
180,calm,162,-175,3.98,study1
180,neutral,1,1,4.702,study1
180,sleepy,81,-193,4.98,study1
180,peppy,74,180,3.85,study1
180,angry,-221,226,5.126,study1
180,afraid,-208,211,4.923,study1
180,aroused,2,235,7.363,study1
180,disgusted,-192,89,5.898,study1
180,happy,137,215,5.36,study1
180,enthusiastic,157,172,17.028,study1
180,sluggish,-72,-148,37.619,study1
180,sad,-203,74,3.977,study1
180,disappointed,-175,-46,5.233,study1
180,nervous,-108,213,8.7,study1
180,relaxed,133,-150,26.494,study1
181,surprised,136,169,11.51,study1
181,nervous,-135,153,4.226,study1
181,relaxed,124,-129,9.711,study1
181,peppy,223,225,13.072,study1
181,annoyed,-226,175,3.276,study1
181,sad,-226,12,4.032,study1
181,disgusted,-102,117,3.344,study1
181,angry,-230,235,3.698,study1
181,neutral,3,-1,62.916,study1
181,disappointed,-153,-66,5.848,study1
181,happy,153,159,4.829,study1
181,calm,170,-95,3.787,study1
181,sleepy,-235,-232,6.415,study1
181,quiet,-160,-183,5.135,study1
181,enthusiastic,242,231,5.882,study1
181,afraid,-218,122,3.93,study1
181,sluggish,-133,-248,12.522,study1
181,still,0,3,9.076,study1
181,satisfied,133,-83,6.095,study1
181,aroused,117,246,16.779,study1
182,satisfied,211,208,8.818,study1
182,nervous,-140,-134,4.65,study1
182,neutral,-4,0,3.171,study1
182,sleepy,-86,-162,4.056,study1
182,afraid,-236,-214,2.939,study1
182,still,-5,2,3.171,study1
182,relaxed,243,120,26.909,study1
182,enthusiastic,230,222,2.906,study1
182,sad,-234,-219,2.819,study1
182,angry,-238,-219,2.375,study1
182,disgusted,-231,81,2.708,study1
182,surprised,199,194,2.669,study1
182,peppy,245,182,3.213,study1
182,sluggish,-208,-199,2.853,study1
182,calm,3,3,2.651,study1
182,annoyed,-210,51,3.737,study1
182,happy,219,194,2.459,study1
182,disappointed,-200,172,2.662,study1
182,aroused,207,171,2.365,study1
182,quiet,-185,-166,3.097,study1
183,aroused,58,81,12.492,study1
183,disgusted,-17,-214,5.889,study1
183,afraid,-205,172,8.173,study1
183,nervous,-226,224,4.999,study1
183,enthusiastic,228,195,3.57,study1
183,still,1,-1,5.598,study1
183,happy,194,68,4.49,study1
183,peppy,108,63,6.228,study1
183,quiet,1,0,6.305,study1
183,calm,30,10,5.213,study1
183,relaxed,135,10,4.821,study1
183,surprised,70,93,6.765,study1
183,sad,-22,-58,4.404,study1
183,sluggish,-93,-18,5.005,study1
183,disappointed,-23,70,4.82,study1
183,annoyed,-158,183,3.177,study1
183,satisfied,184,104,5.658,study1
183,neutral,-1,1,4.692,study1
183,sleepy,18,214,7.976,study1
183,angry,-241,241,4.29,study1
184,still,50,-121,8.916,study1
184,aroused,183,215,3.855,study1
184,relaxed,216,-27,5.249,study1
184,angry,-202,-111,7.226,study1
184,sad,-222,21,4.678,study1
184,sluggish,0,-211,5.632,study1
184,afraid,-178,-74,4.699,study1
184,calm,230,21,4.772,study1
184,nervous,-52,-99,3.67,study1
184,surprised,52,217,6.381,study1
184,annoyed,-122,-206,5.012,study1
184,disappointed,-176,47,3.848,study1
184,quiet,30,22,3.726,study1
184,enthusiastic,226,234,4.148,study1
184,sleepy,79,-221,4.408,study1
184,disgusted,-110,-187,5.275,study1
184,satisfied,102,114,2.713,study1
184,peppy,202,235,2.497,study1
184,neutral,-2,10,3.189,study1
184,happy,242,1,4.878,study1
185,satisfied,38,43,11.641,study1
185,calm,42,-226,9.276,study1
185,angry,-248,246,5.079,study1
185,sleepy,2,-234,6.796,study1
185,annoyed,-78,57,8.157,study1
185,nervous,-62,190,7.074,study1
185,sluggish,-165,-228,4.08,study1
185,disappointed,-117,-235,12.486,study1
185,relaxed,162,-123,4.479,study1
185,still,78,-92,1.955,study1
185,peppy,220,112,3.564,study1
185,happy,188,174,4.088,study1
185,afraid,-193,234,5.263,study1
185,neutral,2,1,2.472,study1
185,sad,-182,-102,6.718,study1
185,quiet,34,-109,9.428,study1
185,disgusted,-153,153,28.877,study1
185,surprised,56,92,5.248,study1
185,aroused,18,218,4.264,study1
185,enthusiastic,98,179,2.748,study1
186,happy,186,161,7.156,study1
186,surprised,0,182,6.532,study1
186,neutral,-1,-1,4.831,study1
186,sluggish,-56,-177,10.173,study1
186,disgusted,-151,54,5.834,study1
186,sleepy,3,-206,4.83,study1
186,sad,-200,-190,5.806,study1
186,aroused,120,202,8.286,study1
186,enthusiastic,203,196,19.057,study1
186,satisfied,190,100,16.809,study1
186,peppy,175,151,5.221,study1
186,still,183,-164,9.905,study1
186,nervous,-92,85,6.546,study1
186,angry,-144,160,4.883,study1
186,annoyed,-103,93,5.448,study1
186,calm,194,-190,5.264,study1
186,relaxed,196,-195,5.386,study1
186,quiet,-1,-205,10.343,study1
186,afraid,-174,99,7.765,study1
186,disappointed,-146,-125,3.601,study1
187,annoyed,-86,25,26.736,study1
187,enthusiastic,238,177,12.545,study1
187,happy,2,0,6.468,study1
187,disgusted,-176,73,4.813,study1
187,sleepy,145,-242,5.113,study1
187,aroused,79,165,6.843,study1
187,angry,-202,171,5.341,study1
187,sad,-164,-35,7.503,study1
187,nervous,-53,94,6.782,study1
187,neutral,-1,-2,6.829,study1
187,peppy,3,60,4.558,study1
187,satisfied,51,43,4.215,study1
187,sluggish,-62,-161,96.597,study1
187,quiet,-4,4,3.492,study1
187,relaxed,120,7,5.075,study1
187,still,6,1,2.646,study1
187,disappointed,-124,2,3.741,study1
187,calm,-1,3,3.223,study1
187,afraid,-140,110,4.317,study1
187,surprised,7,129,5.819,study1
188,sleepy,0,-166,18.646,study1
188,neutral,0,2,8.667,study1
188,satisfied,151,129,13.683,study1
188,surprised,-1,78,9.797,study1
188,disgusted,-141,1,9.97,study1
188,calm,90,-50,11.361,study1
188,still,132,-190,9.489,study1
188,angry,-19,76,11.736,study1
188,annoyed,-72,18,6.873,study1
188,enthusiastic,184,122,4.049,study1
188,afraid,-114,51,8.1,study1
188,sad,-121,-160,4.571,study1
188,quiet,2,-122,9.771,study1
188,sluggish,-12,-129,5.12,study1
188,disappointed,-107,-145,5.84,study1
188,relaxed,83,-11,13.507,study1
188,nervous,-87,3,9.743,study1
188,aroused,15,122,15.445,study1
188,happy,114,-2,3.572,study1
188,peppy,116,37,4.548,study1
189,still,74,71,16.362,study1
189,satisfied,209,27,10.459,study1
189,nervous,-196,206,14.013,study1
189,afraid,-234,232,7.562,study1
189,annoyed,-66,-50,12.044,study1
189,quiet,230,-225,6.817,study1
189,sad,-18,-38,10.118,study1
189,aroused,188,225,7.564,study1
189,calm,212,-204,16.335,study1
189,disgusted,-73,55,5.924,study1
189,relaxed,227,-209,7.583,study1
189,surprised,142,148,8.491,study1
189,sleepy,103,-117,12.91,study1
189,angry,-178,225,41.353,study1
189,peppy,191,169,12.079,study1
189,happy,224,217,7.527,study1
189,enthusiastic,245,238,7.26,study1
189,neutral,1,-2,17.192,study1
189,disappointed,-84,-102,6.106,study1
189,sluggish,-19,-30,7.629,study1
190,angry,-208,174,14.134,study1
190,neutral,2,0,6.092,study1
190,still,0,-149,10.982,study1
190,afraid,-41,205,10.149,study1
190,surprised,42,218,6.993,study1
190,enthusiastic,210,226,6.592,study1
190,satisfied,222,127,8.015,study1
190,annoyed,-109,121,8.325,study1
190,happy,122,137,7.098,study1
190,disappointed,-168,-46,10.023,study1
190,nervous,-39,30,10.248,study1
190,quiet,1,-122,8.432,study1
190,aroused,1,226,8.205,study1
190,sad,-193,-57,7.396,study1
190,sluggish,2,-241,7.933,study1
190,sleepy,2,-241,4.865,study1
190,peppy,32,230,5.998,study1
190,relaxed,122,-128,9.199,study1
190,calm,106,-213,6.848,study1
190,disgusted,-131,53,7.725,study1
191,neutral,1,0,17.62,study1
191,sad,-168,-93,10.223,study1
191,enthusiastic,199,173,6.914,study1
191,angry,-210,138,5.763,study1
191,afraid,-226,68,13.206,study1
191,annoyed,-150,64,10.453,study1
191,happy,227,90,8.587,study1
191,disappointed,-185,18,18.862,study1
191,still,0,1,7.535,study1
191,disgusted,-212,149,8.678,study1
191,relaxed,223,-182,4.483,study1
191,aroused,185,210,13.77,study1
191,peppy,119,222,11.808,study1
191,surprised,-1,203,16.233,study1
191,sluggish,-17,-214,8.058,study1
191,nervous,-73,36,14.381,study1
191,satisfied,226,108,7.609,study1
191,quiet,-2,-139,10.422,study1
191,calm,20,-50,8.881,study1
191,sleepy,0,-243,4.955,study1
192,disappointed,-241,-235,28.34,study1
192,still,0,-244,5.717,study1
192,annoyed,-239,-105,14.11,study1
192,sad,-239,-151,7.626,study1
192,happy,236,2,3.262,study1
192,afraid,-239,54,5.029,study1
192,relaxed,247,-247,5.016,study1
192,aroused,-1,248,6.15,study1
192,angry,-246,247,4.476,study1
192,satisfied,234,0,3.656,study1
192,sleepy,-1,0,5.431,study1
192,quiet,-1,0,10.057,study1
192,sluggish,-241,-245,9.026,study1
192,calm,245,-243,5.248,study1
192,surprised,-1,248,16.994,study1
192,nervous,-248,242,4.52,study1
192,neutral,0,0,4.331,study1
192,enthusiastic,245,249,4.224,study1
192,peppy,245,248,14.735,study1
192,disgusted,-241,238,10.132,study1
193,aroused,-1,231,14.304,study1
193,sleepy,0,-245,8.842,study1
193,angry,-245,242,12.453,study1
193,relaxed,244,-245,8.297,study1
193,quiet,76,-246,8.34,study1
193,neutral,-1,1,10.321,study1
193,peppy,179,249,21.499,study1
193,still,0,-234,18.315,study1
193,nervous,-199,248,13.357,study1
193,enthusiastic,248,248,9.156,study1
193,disappointed,-249,182,14.221,study1
193,satisfied,244,0,12.724,study1
193,disgusted,-246,249,12.763,study1
193,afraid,-247,246,7.694,study1
193,happy,248,193,10.978,study1
193,annoyed,-248,211,12.195,study1
193,sad,-248,128,8.922,study1
193,surprised,0,245,10.752,study1
193,sluggish,-248,-247,10.694,study1
193,calm,83,1,10.027,study1
194,surprised,216,0,20.273,study1
194,disgusted,-180,-3,8.721,study1
194,peppy,-34,2,5.873,study1
194,nervous,-1,196,6.876,study1
194,relaxed,206,-1,5.773,study1
194,afraid,-140,-2,4.935,study1
194,sleepy,-158,0,7.669,study1
194,angry,-167,0,5.591,study1
194,neutral,0,6,7.151,study1
194,happy,211,1,5.12,study1
194,satisfied,154,1,5.205,study1
194,still,155,-3,7.36,study1
194,annoyed,-144,0,6.949,study1
194,quiet,175,0,13.304,study1
194,aroused,-111,4,5.64,study1
194,disappointed,-171,2,12.132,study1
194,sad,-144,-3,6.225,study1
194,sluggish,5,69,5.487,study1
194,enthusiastic,-146,-4,6.117,study1
194,calm,190,3,6.722,study1
195,afraid,-175,240,12.046,study1
195,surprised,2,202,9.317,study1
195,peppy,-1,28,5.364,study1
195,still,3,-178,6.489,study1
195,quiet,-1,-241,4.934,study1
195,enthusiastic,244,242,4.817,study1
195,disappointed,-150,-237,9.172,study1
195,sleepy,-10,-244,4.322,study1
195,aroused,82,242,6.333,study1
195,nervous,-221,183,7.669,study1
195,angry,-246,248,6.694,study1
195,sluggish,-17,-244,3.515,study1
195,satisfied,227,244,4.341,study1
195,happy,247,243,2.447,study1
195,relaxed,241,-242,6.051,study1
195,neutral,0,0,5.016,study1
195,calm,101,-242,5.787,study1
195,annoyed,-146,-53,3.839,study1
195,sad,-181,-231,5.773,study1
195,disgusted,-171,163,5.199,study1
196,neutral,-1,0,11.697,study1
196,happy,210,104,15.184,study1
196,relaxed,205,-217,18.563,study1
196,quiet,3,-218,14.348,study1
196,disgusted,-232,210,8.709,study1
196,surprised,2,203,6.761,study1
196,angry,-239,223,7.588,study1
196,enthusiastic,205,225,4.107,study1
196,still,-2,0,5.741,study1
196,peppy,214,199,8.974,study1
196,afraid,-227,212,6.953,study1
196,sad,-219,-184,6.587,study1
196,aroused,1,229,5.293,study1
196,sluggish,-1,-223,3.873,study1
196,nervous,-222,99,9.749,study1
196,disappointed,-206,-202,8.089,study1
196,annoyed,-218,158,6.695,study1
196,satisfied,191,4,6.969,study1
196,sleepy,-1,-210,4.195,study1
196,calm,139,-217,16.298,study1
197,nervous,-47,107,8.273,study1
197,relaxed,236,-63,11.677,study1
197,peppy,214,174,5.904,study1
197,enthusiastic,241,238,8.056,study1
197,neutral,4,2,8.307,study1
197,calm,234,-159,4.457,study1
197,surprised,0,222,7.396,study1
197,aroused,-1,219,8.398,study1
197,disappointed,-238,-24,6.252,study1
197,sad,-214,7,6.64,study1
197,quiet,129,-43,6.239,study1
197,annoyed,-158,132,5.462,study1
197,sluggish,-33,-152,12.173,study1
197,satisfied,225,-1,8.041,study1
197,angry,-226,79,4.987,study1
197,still,4,2,15.318,study1
197,afraid,-223,-4,5.62,study1
197,happy,227,2,4.271,study1
197,disgusted,-227,-2,6.155,study1
197,sleepy,0,-209,7.959,study1
198,afraid,-220,229,8.036,study1
198,annoyed,-163,58,4.575,study1
198,sluggish,-32,-172,5.372,study1
198,aroused,0,4,9.249,study1
198,sad,-53,-196,8.251,study1
198,disappointed,-55,-89,2.437,study1
198,satisfied,26,33,3.342,study1
198,angry,-178,176,3.141,study1
198,enthusiastic,101,185,3.492,study1
198,happy,178,29,7.007,study1
198,surprised,-1,84,7.923,study1
198,nervous,-119,20,4.598,study1
198,peppy,114,134,28.448,study1
198,sleepy,0,-198,3.078,study1
198,neutral,-2,4,2.874,study1
198,still,3,0,1.962,study1
198,calm,2,-102,3.643,study1
198,relaxed,55,-165,4.367,study1
198,disgusted,-174,64,3.096,study1
198,quiet,0,-204,3.291,study1
199,disgusted,-72,-1,45.828,study1
199,afraid,-144,130,41.978,study1
199,sad,-190,182,9.004,study1
199,annoyed,-19,-42,12.372,study1
199,angry,-209,216,8.984,study1
199,peppy,46,-54,11.216,study1
199,nervous,1,-33,29.997,study1
199,enthusiastic,72,-64,16.868,study1
199,happy,227,141,23.022,study1
199,sleepy,2,-235,21.908,study1
199,satisfied,185,170,13.034,study1
199,quiet,181,-234,16.815,study1
199,sluggish,-142,-221,8.84,study1
199,still,136,-238,9.313,study1
199,disappointed,-168,161,8.335,study1
199,calm,202,-230,10.445,study1
199,aroused,229,232,17.29,study1
199,surprised,212,218,6.472,study1
199,relaxed,147,60,6.783,study1
199,neutral,2,-1,25.865,study1
200,sleepy,0,-200,18.507,study1
200,peppy,181,160,15.623,study1
200,aroused,2,221,6.342,study1
200,relaxed,148,-116,14.024,study1
200,neutral,1,1,3.863,study1
200,disgusted,-194,148,6.349,study1
200,still,3,-105,9.039,study1
200,satisfied,131,34,81.386,study1
200,quiet,3,-72,9.753,study1
200,annoyed,-136,112,6.24,study1
200,disappointed,-115,-1,8.276,study1
200,angry,-171,179,10.472,study1
200,surprised,1,156,8.908,study1
200,enthusiastic,141,159,5.071,study1
200,afraid,-119,123,5.269,study1
200,sad,-128,-71,6.89,study1
200,calm,114,-76,9.995,study1
200,sluggish,-64,-97,9.453,study1
200,nervous,-100,139,5.11,study1
200,happy,124,123,5.031,study1
201,afraid,-199,154,11.235,study1
201,nervous,-181,134,3.928,study1
201,aroused,235,237,6.979,study1
201,satisfied,221,181,3.688,study1
201,relaxed,212,-122,5.321,study1
201,quiet,15,3,8.409,study1
201,enthusiastic,234,234,4.605,study1
201,angry,-235,225,3.299,study1
201,disgusted,-219,168,10.866,study1
201,sad,-228,-244,5.721,study1
201,calm,230,-223,3.814,study1
201,surprised,218,201,3.053,study1
201,sluggish,-213,-215,5.541,study1
201,neutral,2,2,11.525,study1
201,happy,232,231,2.741,study1
201,still,105,-228,5.565,study1
201,disappointed,-231,-185,148.073,study1
201,annoyed,-219,206,2.52,study1
201,peppy,216,193,2.46,study1
201,sleepy,-59,-142,4.561,study1
202,surprised,-2,171,18.715,study1
202,quiet,2,-119,6.103,study1
202,satisfied,141,2,5.682,study1
202,sad,-161,4,3.29,study1
202,nervous,-101,1,7.218,study1
202,disappointed,-101,104,5.355,study1
202,calm,149,-82,5.018,study1
202,sleepy,104,-171,5.517,study1
202,relaxed,183,-163,4.505,study1
202,peppy,159,119,3.15,study1
202,sluggish,6,-176,6.298,study1
202,afraid,-157,2,4.672,study1
202,happy,178,-1,2.762,study1
202,neutral,1,-1,3.645,study1
202,enthusiastic,165,-2,3.618,study1
202,angry,-139,-2,7.111,study1
202,aroused,1,223,4.529,study1
202,annoyed,-146,-1,3.703,study1
202,disgusted,-155,-2,3.258,study1
202,still,0,-227,4.47,study1
203,still,2,-42,8.511,study1
203,enthusiastic,42,32,4.366,study1
203,quiet,35,-39,3.721,study1
203,peppy,34,36,3.858,study1
203,angry,-203,134,4.589,study1
203,sluggish,-179,-109,3.632,study1
203,disgusted,-218,27,3.775,study1
203,surprised,1,66,4.094,study1
203,relaxed,1,0,5.199,study1
203,annoyed,-41,17,2.405,study1
203,satisfied,50,-2,3.676,study1
203,calm,35,-3,2.692,study1
203,sleepy,56,-55,4.157,study1
203,aroused,2,74,3.329,study1
203,neutral,0,0,3.075,study1
203,nervous,-73,17,2.756,study1
203,disappointed,-59,-17,2.989,study1
203,sad,-66,10,2.999,study1
203,afraid,-124,183,2.961,study1
203,happy,180,4,3.784,study1
204,sleepy,27,-178,12.439,study1
204,still,-6,9,3.121,study1
204,quiet,0,-180,2.54,study1
204,angry,-222,171,4.113,study1
204,disgusted,-155,190,2.852,study1
204,nervous,-219,76,2.535,study1
204,satisfied,206,224,2.861,study1
204,annoyed,-188,202,2.095,study1
204,calm,200,-222,4.168,study1
204,sad,-239,-211,4.34,study1
204,relaxed,148,-159,3.442,study1
204,afraid,-248,243,3.266,study1
204,disappointed,-184,112,2.219,study1
204,peppy,126,52,2.598,study1
204,enthusiastic,196,222,2.89,study1
204,sluggish,-176,-174,2.666,study1
204,aroused,101,137,2.357,study1
204,neutral,3,-2,3.376,study1
204,surprised,112,192,2.597,study1
204,happy,230,241,2.624,study1
205,sad,-219,-1,6.478,study1
205,neutral,2,-1,3.114,study1
205,surprised,247,244,5.148,study1
205,peppy,42,88,4.66,study1
205,happy,229,3,3.599,study1
205,disappointed,-230,-2,2.955,study1
205,enthusiastic,171,235,5.808,study1
205,relaxed,236,-244,9.594,study1
205,sleepy,6,-246,6.702,study1
205,disgusted,-216,215,4.149,study1
205,satisfied,226,1,4.059,study1
205,still,3,-2,4.086,study1
205,sluggish,-5,-240,8.449,study1
205,nervous,-225,233,3.978,study1
205,afraid,-231,236,3.18,study1
205,aroused,1,243,4.996,study1
205,quiet,-1,-235,6.936,study1
205,calm,140,-111,6.388,study1
205,angry,-186,181,4.964,study1
205,annoyed,-199,75,3.017,study1
206,satisfied,109,67,63.669,study1
206,neutral,2,-1,7.44,study1
206,sad,-225,-227,7.642,study1
206,disgusted,-148,113,10.741,study1
206,nervous,-31,160,12.935,study1
206,angry,-130,155,6.318,study1
206,peppy,207,177,5.696,study1
206,disappointed,-187,-235,10.821,study1
206,enthusiastic,134,71,9.516,study1
206,afraid,-243,58,8.69,study1
206,relaxed,137,-222,10.079,study1
206,happy,239,104,9.536,study1
206,aroused,113,191,10.686,study1
206,annoyed,-103,62,5.906,study1
206,still,-1,-158,9.392,study1
206,sleepy,1,-235,7.84,study1
206,sluggish,-104,-242,8.377,study1
206,calm,11,-101,17.974,study1
206,quiet,0,-65,10.047,study1
206,surprised,132,160,4.615,study1
207,disgusted,-173,159,6.134,study1
207,surprised,204,218,6.913,study1
207,neutral,0,-1,4.06,study1
207,afraid,-129,218,4.472,study1
207,sluggish,-122,-232,3.854,study1
207,angry,-202,228,2.764,study1
207,sad,-122,76,5.685,study1
207,aroused,162,188,8.154,study1
207,enthusiastic,225,123,3.47,study1
207,peppy,84,227,3.309,study1
207,relaxed,169,-179,8.191,study1
207,disappointed,-121,2,5.032,study1
207,calm,112,-223,7.21,study1
207,happy,186,22,4.829,study1
207,sleepy,-136,-233,8.091,study1
207,quiet,0,-158,4.547,study1
207,satisfied,101,-63,3.207,study1
207,annoyed,-45,32,4.643,study1
207,nervous,-23,168,4.057,study1
207,still,98,-211,9.496,study1
208,nervous,-229,216,25.426,study1
208,quiet,193,195,6.732,study1
208,enthusiastic,217,223,10.976,study1
208,aroused,213,223,5.164,study1
208,satisfied,211,111,8.966,study1
208,calm,230,-238,6.696,study1
208,afraid,-224,212,15.279,study1
208,sluggish,-212,-227,122.408,study1
208,sad,-174,-195,8.228,study1
208,happy,211,220,3.363,study1
208,angry,-219,213,7.811,study1
208,still,191,-215,5.15,study1
208,disgusted,-231,130,5.641,study1
208,neutral,0,-3,6,study1
208,disappointed,-228,125,7.772,study1
208,relaxed,230,-226,4.857,study1
208,sleepy,-41,-207,8.567,study1
208,annoyed,-225,181,7.818,study1
208,peppy,221,209,4.155,study1
208,surprised,220,221,7.681,study1
209,calm,107,-40,10.19,study1
209,surprised,188,203,9.329,study1
209,neutral,-1,1,4.522,study1
209,sluggish,-38,-159,7.195,study1
209,quiet,165,-41,6.349,study1
209,aroused,175,236,7.438,study1
209,afraid,-217,54,6.621,study1
209,peppy,195,128,4.588,study1
209,disappointed,-114,-191,5.59,study1
209,annoyed,-89,67,4.462,study1
209,still,24,-66,7.589,study1
209,relaxed,225,-126,4.789,study1
209,sad,-199,-136,4.446,study1
209,disgusted,-223,52,5.187,study1
209,happy,169,168,3.45,study1
209,enthusiastic,237,233,7.586,study1
209,satisfied,142,88,5.662,study1
209,nervous,-92,89,7.122,study1
209,sleepy,22,-210,4.231,study1
209,angry,-225,226,3.758,study1
210,sluggish,-144,-187,7.234,study1
210,quiet,0,-74,9.555,study1
210,relaxed,154,-160,6.573,study1
210,sad,-174,-180,6.289,study1
210,angry,-156,160,4.631,study1
210,peppy,95,126,8.477,study1
210,satisfied,193,47,8.25,study1
210,aroused,0,205,8.214,study1
210,happy,195,58,8.42,study1
210,neutral,0,0,3.848,study1
210,annoyed,-150,32,8.579,study1
210,afraid,-175,90,6.161,study1
210,still,6,0,10.804,study1
210,enthusiastic,150,179,4.403,study1
210,disappointed,-190,-140,5.026,study1
210,calm,159,-79,8.001,study1
210,sleepy,2,-179,4.157,study1
210,surprised,134,144,4.776,study1
210,disgusted,-142,-150,3.519,study1
210,nervous,-70,134,6.815,study1
211,angry,-155,222,5.91,study1
211,happy,139,44,7.767,study1
211,surprised,1,218,4.853,study1
211,calm,6,0,7.849,study1
211,relaxed,-2,0,3.042,study1
211,aroused,18,198,7.989,study1
211,enthusiastic,190,201,4.068,study1
211,neutral,-1,1,3.105,study1
211,peppy,68,53,2.775,study1
211,nervous,-80,38,5.11,study1
211,sleepy,2,-229,6.073,study1
211,quiet,-1,-177,2.776,study1
211,disappointed,-83,-69,5.025,study1
211,sluggish,-127,-82,3.39,study1
211,satisfied,85,-56,4.231,study1
211,disgusted,-104,168,7.709,study1
211,still,-2,0,8.021,study1
211,sad,-173,-48,4.517,study1
211,annoyed,-97,81,8.537,study1
211,afraid,-109,169,78.106,study1
212,enthusiastic,246,214,11.072,study1
212,sad,-238,-148,6.394,study1
212,calm,1,-3,6.973,study1
212,satisfied,245,-62,13.533,study1
212,quiet,0,-217,7.249,study1
212,disgusted,-242,181,7.078,study1
212,disappointed,-242,-198,8.346,study1
212,still,3,-236,23.361,study1
212,happy,247,56,5.067,study1
212,relaxed,-3,-214,14.4,study1
212,sleepy,5,-243,6.287,study1
212,surprised,-1,138,15.355,study1
212,afraid,-247,229,5.837,study1
212,sluggish,3,-172,4.205,study1
212,annoyed,-170,89,7.334,study1
212,angry,-238,198,4.298,study1
212,peppy,1,216,5.606,study1
212,aroused,2,242,6.771,study1
212,nervous,-230,164,6.886,study1
212,neutral,2,4,4.22,study1
213,disgusted,-186,192,16.26,study1
213,still,-1,-206,18.945,study1
213,aroused,3,218,4.035,study1
213,surprised,52,219,3.52,study1
213,enthusiastic,183,210,2.628,study1
213,calm,145,-191,3.588,study1
213,neutral,1,6,2.848,study1
213,happy,168,176,2.584,study1
213,peppy,183,214,2.315,study1
213,nervous,-162,198,4.822,study1
213,afraid,-162,190,2.951,study1
213,sad,-152,-159,4.122,study1
213,satisfied,120,114,2.213,study1
213,sleepy,-56,-206,4.793,study1
213,quiet,50,-208,3.831,study1
213,sluggish,-183,-206,4.233,study1
213,annoyed,-174,195,3.917,study1
213,angry,-193,200,2.402,study1
213,relaxed,153,-187,3.112,study1
213,disappointed,-138,-89,10.568,study1
214,annoyed,-172,131,137.328,study1
214,sleepy,4,-221,8.449,study1
214,calm,126,-204,4.44,study1
214,angry,-189,179,4.134,study1
214,surprised,104,174,4.684,study1
214,afraid,-104,34,7.219,study1
214,peppy,199,211,7.751,study1
214,disappointed,-172,-137,3.481,study1
214,sluggish,-135,-151,7.473,study1
214,aroused,130,43,4.714,study1
214,sad,-86,-105,5.307,study1
214,neutral,1,0,5.663,study1
214,satisfied,76,-2,8.811,study1
214,nervous,-64,0,6.684,study1
214,happy,107,39,5.587,study1
214,disgusted,-154,-30,4.824,study1
214,quiet,1,-117,7.209,study1
214,enthusiastic,89,10,6.678,study1
214,still,0,-205,5.547,study1
214,relaxed,72,-76,4.76,study1
215,satisfied,238,-112,34.348,study1
215,sluggish,-141,-205,19.79,study1
215,peppy,240,153,11.243,study1
215,sleepy,6,-245,9.879,study1
215,surprised,1,243,20.838,study1
215,quiet,10,-188,17.61,study1
215,happy,242,4,17.021,study1
215,annoyed,-242,-9,17.979,study1
215,still,2,-202,9.404,study1
215,relaxed,244,-199,14.828,study1
215,angry,-244,216,12.753,study1
215,calm,242,-20,9.187,study1
215,disappointed,-240,-73,13.066,study1
215,aroused,4,247,57.445,study1
215,neutral,3,-2,6.265,study1
215,nervous,-132,154,12.514,study1
215,afraid,-209,163,8.465,study1
215,enthusiastic,236,218,9.151,study1
215,sad,-243,-22,19.371,study1
215,disgusted,-242,108,7.322,study1
216,quiet,16,-213,15.739,study1
216,satisfied,235,-112,16.2,study1
216,aroused,1,233,10.211,study1
216,relaxed,21,-226,12.352,study1
216,sluggish,-142,-239,18.707,study1
216,annoyed,-142,206,11.914,study1
216,sad,-230,-47,23.934,study1
216,enthusiastic,44,219,10.988,study1
216,disgusted,-222,106,11.147,study1
216,disappointed,-234,35,26.119,study1
216,peppy,119,224,13.452,study1
216,happy,235,2,9.589,study1
216,still,2,-234,10.982,study1
216,calm,96,-227,18.135,study1
216,afraid,-238,235,8.532,study1
216,neutral,0,0,11.021,study1
216,nervous,-37,238,13.089,study1
216,surprised,240,240,7.606,study1
216,sleepy,-42,-231,16.324,study1
216,angry,-241,240,11.644,study1
217,sad,-232,-215,13.32,study1
217,disappointed,-166,-198,6.142,study1
217,enthusiastic,189,202,7.209,study1
217,still,-1,2,6.092,study1
217,afraid,-211,236,9.438,study1
217,angry,-245,247,6.397,study1
217,sleepy,0,-188,7.701,study1
217,sluggish,-96,-236,5.56,study1
217,peppy,143,155,4.207,study1
217,aroused,40,219,7.645,study1
217,relaxed,174,-186,3.492,study1
217,surprised,0,178,4.818,study1
217,neutral,1,0,3.813,study1
217,happy,216,80,3.463,study1
217,satisfied,217,-36,4.508,study1
217,calm,111,-100,5.377,study1
217,quiet,0,-179,4.88,study1
217,annoyed,-128,154,5.858,study1
217,nervous,-147,110,6.562,study1
217,disgusted,-238,237,5.213,study1
218,disappointed,146,-4,8.257,study1
218,sluggish,-4,176,2.422,study1
218,annoyed,160,7,2.125,study1
218,afraid,15,186,2.186,study1
218,disgusted,181,4,1.957,study1
218,still,176,9,2.066,study1
218,happy,171,0,299.676,study1
218,quiet,12,194,3.438,study1
218,calm,195,6,2.745,study1
218,sad,181,-3,2.785,study1
218,aroused,199,4,2.793,study1
218,sleepy,184,-1,2.382,study1
218,angry,225,4,2.458,study1
218,enthusiastic,214,2,2.33,study1
218,nervous,207,3,2.328,study1
218,peppy,222,-4,2.36,study1
218,relaxed,178,-6,2.71,study1
218,surprised,222,11,2.426,study1
